,Close,Momentum_1y,Momentum_6mo,RelativeStrength_1y,RelativeStrength_6mo,PriceVs52WeekHigh,50dMAvs200dMA,Price_Momentum,Model_Value,Rank,algorithm,ask,askSize,averageDailyVolume10Day,averageVolume,averageVolume10days,beta,bid,bidSize,circulatingSupply,currency,dayHigh,dayLow,dividendRate,dividendYield,exDividendDate,expireDate,fiftyDayAverage,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiveYearAvgDividendYield,forwardPE,fromCurrency,lastMarket,marketCap,maxAge,maxSupply,navPrice,open,openInterest,payoutRatio,previousClose,priceHint,priceToSalesTrailing12Months,regularMarketDayHigh,regularMarketDayLow,regularMarketOpen,regularMarketPreviousClose,regularMarketVolume,startDate,strikePrice,toCurrency,totalAssets,tradeable,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingPE,twoHundredDayAverage,volume,volume24Hr,volumeAllCurrencies,yield,ytdReturn
PEP,120.91999816894531,0.18510130045235693,-0.058672231838554585,0.3357330443387414,0.08053346810355255,-0.17853262113488233,0.9671068242540846,0.30121017889037405,0.30121017889037405,16.0,,119,800,9871014,6513674,9871014,0.543151,118.26,800,,USD,122.3,115.665,3.82,0.0318,2020-03-05,-,131.15572,147.2,101.42,2.84,18.8992,,,164706533376,1,,,117.27,,0.7293,120.1,2,2.4524133,122.3,115.665,117.27,120.1,6872957,-,,,,True,3.792,0.03157369,22.715385,135.61658,6872957,,,,
ABT,79.26000213623047,0.13129317038164715,-0.046194719092582055,0.2750856571811289,0.09485618392765405,-0.14267169133336435,0.9563543275004867,0.2959061193189763,0.2959061193189763,17.0,,76.8,1200,17637028,8597945,17637028,1.153602,76.55,1000,,USD,77.38,75.35,1.44,0.0182,2020-04-14,-,79.91171,92.45,61.61,1.96,19.58312,,,135025836032,1,,,77,,0.6214,78.91,2,4.232254,77.38,75.35,77,78.91,12030017,-,,,,True,1.32,0.016727917,37.169903,83.558685,12030017,,,,
CHTR,381.5199890136719,0.1750646717386429,-0.03456653655367744,0.32442071464882405,0.10820396865416271,-0.3019358344976179,1.0077903162195712,0.284619791256235,0.284619791256235,18.0,,423.36,800,2244585,1865219,2244585,1.048297,423.27,800,,USD,434.83,413.39,,,-,-,473.606,546.54,343.15,,21.30804,,,99306127360,1,,,418.3,,0,436.31,2,2.1699617,434.83,413.39,418.3,436.31,1341029,-,,,,True,,,56.91678,469.94498,1341029,,,,
JNJ,134.9600067138672,0.008529365718362629,-0.010723757736603385,0.13671801681578288,0.1355726720493231,-0.12647244845393407,0.9914225708610555,0.28431020281805686,0.28431020281805686,19.0,,129.7,900,16725685,10542861,16725685,0.75376,129.05,800,,USD,130.23,125.5,3.8,0.029000001,2020-02-24,-,136.84114,154.5,109.16,2.68,13.375908,,,339588218880,1,,,127.7,,0.6661,131.13,2,4.138342,130.23,125.5,127.7,131.13,11872325,-,,,,True,3.75,0.028597575,22.879217,138.02504,11872325,,,,
DHR,128.13999938964844,0.20527256505292363,-0.1013581421110732,0.35846816804740067,0.03153506794373606,-0.24262663638720705,0.9876323823299561,0.28375224548347144,0.28375224548347144,20.0,,129.56,1100,5819857,3440120,5819857,0.854315,128.72,800,,USD,135.57,128.03,0.72,0.0052,2020-03-26,-,145.10771,169.19,119.6,0.58,20.926828,,,89690382336,1,,,133.36,,0.2086,138.41,2,5.0075307,135.57,128.03,133.36,138.41,3643320,-,,,,True,0.68,0.00491294,31.746424,146.92482,3643320,,,,
VZ,54.31999969482422,0.051259725490670885,-0.01908557593098497,0.1848795988869263,0.12597428908557218,-0.1269688252197972,0.9390059538457894,0.28072275414962267,0.28072275414962267,21.0,,53.18,800,31182800,21119116,31182800,0.508313,53.01,1300,,USD,53.45,52.161,2.46,0.0458,2020-04-09,-,55.308,62.22,48.84,4.48,10.3359375,,,219088797696,1,,,52.5,,0.5237,53.73,2,1.661425,53.45,52.161,52.5,53.73,18081016,-,,,,True,2.435,0.04531919,11.380645,58.900585,18081016,,,,
T,32.849998474121094,0.05247423898185321,0.022353168281779752,0.18624848254467619,0.17354108942072943,-0.172544119039771,0.9269513223512443,0.2785491938192197,0.2785491938192197,22.0,,28.19,2200,66145485,46151277,66145485,0.582739,28,1100,,USD,28.58,27.7,2.08,0.0714,2020-04-08,-,34.511143,39.7,26.08,5.51,7.440318,,,201486237696,1,,,28.38,,1.0847,29.15,2,1.111998,28.58,27.7,28.38,29.15,52975735,-,,,,True,2.05,0.070325896,14.802111,37.230804,52975735,,,,
AMZN,1830.0,-0.04159380446285247,-0.033602131735734855,0.08022396464276804,0.10931099185886706,-0.1628353804981815,1.0540195408848845,0.2701797792220845,0.2701797792220845,23.0,,1911.05,1400,6325757,5500393,6325757,1.544734,1910.5,1300,,USD,1944.96,1893.62,,,-,-,1945.4572,2185.95,1626.03,,47.944206,,,949672083456,1,,,1932.97,,0,1949.72,2,3.3853748,1944.96,1893.62,1932.97,1949.72,3742635,-,,,,True,,,82.907425,1845.7506,3742635,,,,
AGN,169.22999572753906,-0.09359799357857533,0.023354255028394784,0.021609807507510848,0.17469021916148386,-0.16313917650312004,1.0162531419100767,0.26235349801898783,0.26235349801898783,24.0,,175.2,1000,4366900,3680466,4366900,1.490894,170.86,900,,USD,175.95,173.04,2.96,0.0168,2020-04-15,-,185.83458,202.22,114.27,,9.722068,,,57542443008,1,,,173.49,,,177.1,2,3.5765307,175.95,173.04,173.49,177.1,2935906,-,,,,True,2.96,0.01671372,,182.86249,2935906,,,,
MDLZ,46.54999923706055,0.12852104388633298,-0.12742253560102737,0.2719611808503166,0.0016162124246608123,-0.22364911212374006,0.9828333194845893,0.25819040015895667,0.25819040015895667,25.0,,49.49,1100,10831128,9307183,10831128,0.768012,48.33,800,,USD,49.895,48.155,1.14,0.0228,2020-03-30,-,52.990284,59.96,41.19,1.8,17.080702,,,69755518976,1,,,48.38,,0.4113,50.08,2,2.696595,49.895,48.155,48.38,50.08,7114341,-,,,,True,1.09,0.021765176,18.36981,53.91584,7114341,,,,
