iShares S&P 100 ETF
Fund Holdings as of,"Mar 31, 2020"
Inception Date,"Oct 23, 2000"
Shares Outstanding,"40,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.70","110.93","304,127.00","33,736,808.11","33,736,808.11","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"UNP","UNION PACIFIC CORP","Equity","0.70","141.04","238,391.00","33,622,666.64","33,622,666.64","Industrials","2914734","US9078181081","New York Stock Exchange Inc."
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.68","133.79","245,383.00","32,829,791.57","32,829,791.57","Industrials","2020459","US4385161066","New York Stock Exchange Inc."
"GILD","GILEAD SCIENCES INC","Equity","0.67","74.76","434,448.00","32,479,332.48","32,479,332.48","Health Care","2369174","US3755581036","NASDAQ"
"TXN","TEXAS INSTRUMENT INC","Equity","0.66","99.93","321,007.00","32,078,229.51","32,078,229.51","Information Technology","2885409","US8825081040","NASDAQ"
"C","CITIGROUP INC","Equity","0.65","42.12","749,712.00","31,577,869.44","31,577,869.44","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"DHR","DANAHER CORP","Equity","0.63","138.41","219,530.00","30,385,147.30","30,385,147.30","Health Care","2250870","US2358511028","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","0.60","338.95","85,241.00","28,892,436.95","28,892,436.95","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"BA","BOEING","Equity","0.57","149.14","183,595.00","27,381,358.30","27,381,358.30","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"MMM","3M","Equity","0.56","136.51","197,475.00","26,957,312.25","26,957,312.25","Industrials","2595708","US88579Y1010","New York Stock Exchange Inc."
"SBUX","STARBUCKS CORP","Equity","0.55","65.74","405,556.00","26,661,251.44","26,661,251.44","Consumer Discretionary","2842255","US8552441094","NASDAQ"
"QCOM","QUALCOMM INC","Equity","0.55","67.65","392,124.00","26,527,188.60","26,527,188.60","Information Technology","2714923","US7475251036","NASDAQ"
